iter	Passed	Remaining
0	0	51
1	0	47
2	1	46
3	1	42
4	2	42
5	2	41
6	3	41
7	3	40
8	4	40
9	4	40
10	4	39
11	5	39
12	6	40
13	6	42
14	7	43
15	8	43
16	8	43
17	9	42
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	37
25	13	37
26	13	36
27	13	35
28	14	35
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	17	32
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	19	28
41	20	27
42	20	27
43	21	27
44	22	26
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	13
71	34	13
72	35	13
73	36	12
74	37	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
