iter	Passed	Remaining
0	134	134730
1	135	67557
2	135	45166
3	136	33962
4	136	27242
5	137	22756
6	137	19551
7	138	17154
8	138	15288
9	139	13839
10	140	12625
11	140	11606
12	141	10746
13	142	10009
14	142	9366
15	143	8801
16	143	8306
17	144	7862
18	144	7466
19	145	7112
20	145	6790
21	146	6496
22	146	6232
23	147	6003
24	148	5794
25	149	5591
26	149	5395
27	150	5215
28	150	5047
29	151	4894
30	151	4747
31	152	4610
32	152	4480
33	153	4359
34	154	4253
35	154	4143
36	155	4040
37	155	3943
38	156	3850
39	156	3766
40	157	3682
41	158	3604
42	158	3530
43	159	3458
44	159	3388
45	160	3321
46	160	3258
47	161	3196
48	161	3138
49	162	3082
50	162	3027
51	163	2975
52	163	2925
53	164	2877
54	164	2831
55	165	2787
56	165	2742
57	166	2699
58	166	2659
59	167	2631
60	168	2594
61	169	2557
62	169	2523
63	170	2489
64	170	2455
65	171	2421
66	171	2389
67	172	2358
68	172	2327
69	172	2298
70	173	2269
71	173	2241
72	174	2214
73	174	2188
74	175	2161
75	175	2137
76	176	2113
77	176	2089
78	177	2065
79	177	2043
80	178	2020
81	178	1998
82	178	1975
83	179	1954
84	179	1934
85	180	1914
86	180	1895
87	181	1876
88	181	1858
89	182	1847
90	183	1831
91	183	1814
92	184	1797
93	184	1781
94	185	1765
95	185	1750
96	186	1736
97	187	1725
98	188	1711
99	188	1696
100	189	1682
101	189	1668
102	189	1654
103	190	1640
104	190	1626
105	191	1613
106	191	1599
107	192	1587
108	192	1574
109	193	1562
110	193	1549
111	193	1537
112	194	1526
113	194	1514
114	195	1503
115	195	1492
116	196	1480
117	196	1469
118	197	1459
119	197	1449
120	198	1440
121	198	1429
122	199	1419
123	199	1410
124	200	1401
125	200	1391
126	201	1381
127	201	1372
128	202	1364
129	202	1355
130	202	1346
131	203	1337
132	203	1329
133	204	1320
134	204	1312
135	205	1304
136	205	1295
137	206	1288
138	206	1280
139	207	1272
140	207	1264
141	207	1256
142	208	1248
143	208	1241
144	209	1234
145	209	1227
146	210	1219
147	210	1212
148	211	1205
149	211	1198
150	212	1192
151	212	1186
152	213	1181
153	213	1175
154	214	1168
155	214	1162
156	215	1156
157	216	1151
158	216	1145
159	217	1139
160	217	1133
161	217	1127
162	218	1122
163	219	1117
164	219	1111
165	220	1105
166	220	1100
167	221	1095
168	221	1089
169	222	1083
170	222	1078
171	222	1073
172	223	1067
173	223	1062
174	224	1057
175	224	1052
176	225	1047
177	225	1042
178	226	1037
179	226	1032
180	227	1028
181	227	1024
182	228	1020
183	229	1015
184	229	1011
185	230	1007
186	230	1003
187	231	998
188	231	994
189	232	989
190	232	985
191	233	980
192	233	977
193	234	972
194	234	968
195	235	964
196	235	960
197	236	956
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	927
205	239	923
206	240	919
207	240	916
208	241	912
209	241	908
210	241	904
211	242	901
212	243	898
213	243	894
214	244	891
215	244	887
216	245	884
217	245	880
218	246	877
219	246	873
220	246	870
221	247	866
222	247	863
223	248	860
224	248	857
225	249	853
226	249	851
227	250	847
228	250	844
229	251	841
230	251	837
231	252	834
232	252	831
233	253	828
234	253	825
235	254	822
236	254	819
237	254	816
238	255	813
239	255	809
240	256	806
241	256	803
242	257	801
243	258	799
244	258	796
245	259	793
246	259	790
247	259	788
248	260	785
249	260	782
250	261	779
251	261	776
252	262	773
253	262	771
254	262	768
255	263	765
256	263	763
257	264	760
258	264	757
259	265	755
260	265	752
261	266	750
262	266	747
263	267	744
264	267	742
265	268	739
266	268	737
267	269	734
268	269	732
269	269	729
270	270	727
271	270	725
272	271	722
273	272	721
274	272	719
275	273	717
276	273	714
277	274	712
278	274	710
279	275	708
280	275	705
281	276	703
282	276	701
283	277	699
284	277	696
285	278	694
286	278	692
287	279	690
288	279	688
289	280	686
290	280	684
291	281	681
292	281	679
293	282	678
294	282	675
295	283	673
296	283	671
297	284	669
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	654
306	288	652
307	289	650
308	290	648
309	290	646
310	291	645
311	291	643
312	292	641
313	292	639
314	293	637
315	293	635
316	294	633
317	294	631
318	294	629
319	295	627
320	295	625
321	296	623
322	296	621
323	297	620
324	297	618
325	298	616
326	298	614
327	298	612
328	299	610
329	300	609
330	300	607
331	300	605
332	301	603
333	302	603
334	303	601
335	303	600
336	304	598
337	304	597
338	305	596
339	306	594
340	306	592
341	307	591
342	307	589
343	308	588
344	308	586
345	309	584
346	309	583
347	310	581
348	310	579
349	311	577
350	311	576
351	312	574
352	312	573
353	313	571
354	313	570
355	314	568
356	314	567
357	315	565
358	315	563
359	316	563
360	317	562
361	318	560
362	318	558
363	319	557
364	319	556
365	320	555
366	320	553
367	321	552
368	322	550
369	322	549
370	323	548
371	323	546
372	324	544
373	324	543
374	325	542
375	325	540
376	326	539
377	327	538
378	327	536
379	328	535
380	328	533
381	329	532
382	329	530
383	330	529
384	330	527
385	331	527
386	332	526
387	332	525
388	333	523
389	333	522
390	334	521
391	335	520
392	335	518
393	336	517
394	337	516
395	338	515
396	339	514
397	339	513
398	340	512
399	340	510
400	341	509
401	341	508
402	342	506
403	342	505
404	343	504
405	343	502
406	344	501
407	344	500
408	345	498
409	345	497
410	346	496
411	347	495
412	347	494
413	348	492
414	348	491
415	349	490
416	349	488
417	350	487
418	350	486
419	351	484
420	351	483
421	351	482
422	352	480
423	352	479
424	353	478
425	353	476
426	354	475
427	354	474
428	355	472
429	355	471
430	356	470
431	356	468
432	357	467
433	357	466
434	357	464
435	358	463
436	358	462
437	359	461
438	359	459
439	360	458
440	360	457
441	361	456
442	362	455
443	362	454
444	363	453
445	363	451
446	364	450
447	364	449
448	366	449
449	366	448
450	367	447
451	367	446
452	368	444
453	368	443
454	369	442
455	369	441
456	370	439
457	370	438
458	371	437
459	371	436
460	371	434
461	372	433
462	372	432
463	373	431
464	373	430
465	374	428
466	374	427
467	375	426
468	375	425
469	376	424
470	377	423
471	377	422
472	378	421
473	378	420
474	379	419
475	379	417
476	380	416
477	380	415
478	381	414
479	381	413
480	382	412
481	382	411
482	382	409
483	383	409
484	384	407
485	384	406
486	385	405
487	385	404
488	386	403
489	386	402
490	386	401
491	387	399
492	387	398
493	388	397
494	389	397
495	389	395
496	390	394
497	390	393
498	391	393
499	391	391
500	392	391
501	393	390
502	394	389
503	395	389
504	395	388
505	396	387
506	397	386
507	397	385
508	398	384
509	398	383
510	399	382
511	399	381
512	400	379
513	400	378
514	401	377
515	401	376
516	402	375
517	403	375
518	403	374
519	404	372
520	404	371
521	405	370
522	406	371
523	407	370
524	407	369
525	408	368
526	409	367
527	409	366
528	410	365
529	410	364
530	411	363
531	411	362
532	412	361
533	412	360
534	413	359
535	413	358
536	414	356
537	414	355
538	414	354
539	415	353
540	415	352
541	416	351
542	416	350
543	417	349
544	417	348
545	418	347
546	418	346
547	419	345
548	419	344
549	419	343
550	420	342
551	421	341
552	422	341
553	422	340
554	423	339
555	426	340
556	426	339
557	427	338
558	427	337
559	428	336
560	428	335
561	429	334
562	429	333
563	430	332
564	430	331
565	431	330
566	431	329
567	432	329
568	433	328
569	433	327
570	434	326
571	434	325
572	435	324
573	436	324
574	437	323
575	437	322
576	438	321
577	438	320
578	439	319
579	439	318
580	440	317
581	440	316
582	441	315
583	441	314
584	442	313
585	442	312
586	442	311
587	443	310
588	443	309
589	444	308
590	444	307
591	445	306
592	446	306
593	446	305
594	446	304
595	447	303
596	447	302
597	448	301
598	448	300
599	449	299
600	449	298
601	450	297
602	450	296
603	451	295
604	452	295
605	452	294
606	453	293
607	453	292
608	454	291
609	454	290
610	455	289
611	455	288
612	456	287
613	456	286
614	457	286
615	457	285
616	458	284
617	459	283
618	459	282
619	459	281
620	460	280
621	460	280
622	461	279
623	461	278
624	462	277
625	462	276
